uniprot_accession,signal_peptide,transmembrane,topological_domain,subcellular_location_[cc]
Q15642,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Lysosome. Golgi apparatus. Cell membrane. Cell projection, phagocytic cup. Note=Translocates to the plasma membrane in response to insulin stimulation, and this may require active RHOQ (By similarity). Localizes to cortical regions coincident with F-actin, to lysosomes and to sites of phagocytosis in macrophages. Also localizes to the Golgi, and this requires AKAP9. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm, perinuclear region."
Q15691,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10188731, ECO:0000269|PubMed:12388762, ECO:0000269|PubMed:21646404, ECO:0000269|PubMed:23001180, ECO:0000269|PubMed:25225338, ECO:0000269|PubMed:28814570, ECO:0000269|PubMed:9724749}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:12388762, ECO:0000269|PubMed:14654843}. Golgi apparatus {ECO:0000269|PubMed:25217626}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:23509069, ECO:0000269|PubMed:27225956}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:34608293}. Cell membrane {ECO:0000269|PubMed:25225338}. Note=Associated with the microtubule growing distal tips (PubMed:28814570). In addition to localizing to microtubule plus-ends, also exhibits some localization along the length of the microtubules (PubMed:27225956). Recruitment to the Golgi apparatus requires the presence of PDE4DIP isoform 13/MMG8/SMYLE (PubMed:25217626). {ECO:0000269|PubMed:25217626, ECO:0000269|PubMed:27225956, ECO:0000269|PubMed:28814570}."
Q15904,"SIGNAL 1..41; /evidence=""ECO:0000255""","TRANSMEM 420..440; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 42..419; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 441..470; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27231034}; Single-pass type I membrane protein {ECO:0000305}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:27231034}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:O54715}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250|UniProtKB:O54715}; Single-pass type I membrane protein {ECO:0000305}. Note=Not detected in trans-Golgi network. {ECO:0000269|PubMed:27231034}."
Q16531,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10777491, ECO:0000269|PubMed:11673459, ECO:0000269|PubMed:18593899}. Nucleus {ECO:0000269|PubMed:10777491, ECO:0000269|PubMed:11673459, ECO:0000269|PubMed:18593899}. Note=Primarily cytoplasmic (PubMed:10777491, PubMed:11673459). Translocates to the nucleus following UV irradiation and subsequently accumulates at sites of DNA damage (PubMed:10777491, PubMed:11673459). More concentrated in nuclei than in cytoplasm in germinal vesicle (GV) stage oocytes, zygotes and the 2-cell stage, but distributed in the cytoplasm at the MII-stage oocytes (By similarity). {ECO:0000250|UniProtKB:Q3U1J4, ECO:0000269|PubMed:10777491, ECO:0000269|PubMed:11673459}."
Q16630,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15169763, ECO:0000269|PubMed:19864460, ECO:0000269|PubMed:20695905, ECO:0000269|PubMed:30916345, ECO:0000269|PubMed:9659921}. Nucleus, nucleoplasm {ECO:0000269|PubMed:17267687}. Nucleus speckle {ECO:0000269|PubMed:17267687}. Cytoplasm {ECO:0000269|PubMed:19864460, ECO:0000269|PubMed:30916345}. Note=Shuttles between the nucleus and the cytoplasm in a transcription- and XPO1/CRM1-independent manner, most probably in complex with the cleavage factor Im complex (CFIm) (PubMed:19864460). Colocalizes with PSPC1 in punctate subnuclear structures often located adjacent to nuclear speckles, called paraspeckles, and corresponding to interchromatin granules-associated zones (IGAZs) (PubMed:17267687). Distribution in speckles and paraspeckles varies during the cell cycle (PubMed:17267687). Associates at sites of active transcription on nascent perichromatin fibrils (PFs) and perichromatin granules (PubMed:17267687). Nuclear import is mediated via interaction with TNPO3 independently of CPSF6 phosphorylation status (PubMed:30916345). {ECO:0000269|PubMed:15169763, ECO:0000269|PubMed:17267687, ECO:0000269|PubMed:19864460, ECO:0000269|PubMed:30916345}."
Q16644,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15302577, ECO:0000269|PubMed:26744326}. Cytoplasm {ECO:0000269|PubMed:15302577, ECO:0000269|PubMed:26744326}. Note=Predominantly located in the nucleus, when activated it translocates to the cytoplasm."
Q16739,,"TRANSMEM 11..32; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 196..215; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 288..304; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 310..328; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 349..369; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..10; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 33..195; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 216..287; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 305..309; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 329..348; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 370..394; /note=""Cytoplasmic""; /evidence=""ECO:0000305""",SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:12873973}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9R0E0}.
Q3SXY8,,,,"SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:18554500, ECO:0000269|PubMed:24120134}; Lipid-anchor {ECO:0000269|PubMed:18554500, ECO:0000269|PubMed:24120134}. Cell projection, cilium {ECO:0000269|PubMed:25138100, ECO:0000269|PubMed:38219074}. Cell membrane {ECO:0000269|PubMed:23223633}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:23223633}. Note=Associates with the cilium membrane via palmitoylation. Localizes to proximal ciliary membranes, to an inversin-like subciliary membrane compartment, excluding the transition zone (PubMed:25138100, PubMed:38219074). Colocalizes with microtubules (PubMed:23223633). {ECO:0000269|PubMed:23223633, ECO:0000269|PubMed:25138100, ECO:0000269|PubMed:38219074}."
Q53GI3,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q53HL2,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:18946085}. Cytoplasm {ECO:0000269|PubMed:18946085}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15561729}. Chromosome, centromere {ECO:0000269|PubMed:20739936}. Note=Localizes on chromosome arms and inner centromeres from prophase through metaphase and then transferring to the spindle midzone and midbody from anaphase through cytokinesis. Colocalizes with SENP3 in the nucleolus in interphase cells. {ECO:0000269|PubMed:18946085}."
Q15388,,"TRANSMEM 7..24; /note=""Helical""; /evidence=""ECO:0000269|PubMed:40080546, ECO:0007744|PDB:9EIH, ECO:0007744|PDB:9EII, ECO:0007744|PDB:9EIJ""","TOPO_DOM 1..6; /note=""Mitochondrial intermembrane""; /evidence=""ECO:0000269|PubMed:40080546, ECO:0007744|PDB:9EIH, ECO:0007744|PDB:9EII, ECO:0007744|PDB:9EIJ""; TOPO_DOM 25..145; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:40080546, ECO:0007744|PDB:9EIH, ECO:0007744|PDB:9EII, ECO:0007744|PDB:9EIJ""","SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:20628368, ECO:0000269|PubMed:25764979, ECO:0000269|PubMed:25997101, ECO:0000269|PubMed:31644573}; Single-pass membrane protein {ECO:0000269|PubMed:40080546}."
Q15528,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q15572,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000305|PubMed:11250903, ECO:0000305|PubMed:11283244}."
Q15699,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8756334, ECO:0000269|PubMed:9753625}."
Q15800,,"TRANSMEM 55..75; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 199..219; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q15942,,,,"SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton. Nucleus. Cell junction, focal adhesion. Note=Associates with the actin cytoskeleton near the adhesion plaques. Enters the nucleus in the presence of HESX1."
Q16778,,,,SUBCELLULAR LOCATION: Nucleus. Chromosome.
Q16831,,,,
Q3B726,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000305|PubMed:34887565}."
Q3T906,,"TRANSMEM 22..42; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1215..1235; /note=""Helical""; /evidence=""ECO:0000255""",,"SUBCELLULAR LOCATION: [N-acetylglucosamine-1-phosphotransferase subunit alpha]: Golgi apparatus membrane {ECO:0000269|PubMed:16120602, ECO:0000269|PubMed:16200072, ECO:0000269|PubMed:21719679, ECO:0000269|PubMed:23733939, ECO:0000269|PubMed:24375680, ECO:0000269|PubMed:25788519, ECO:0000269|PubMed:28918368}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [N-acetylglucosamine-1-phosphotransferase subunit beta]: Golgi apparatus membrane {ECO:0000269|PubMed:16120602, ECO:0000269|PubMed:16200072, ECO:0000269|PubMed:21719679, ECO:0000269|PubMed:23733939, ECO:0000269|PubMed:24375680, ECO:0000269|PubMed:28918368}; Single-pass type II membrane protein {ECO:0000305}."
Q53EZ4,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:28264986}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:16198290}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:16198290}. Cleavage furrow {ECO:0000269|PubMed:16198290}. Midbody, Midbody ring {ECO:0000269|PubMed:16198290, ECO:0000269|PubMed:17853893, ECO:0000269|PubMed:18641129, ECO:0000269|PubMed:21310966, ECO:0000269|PubMed:28264986}. Midbody {ECO:0000269|PubMed:36825683, ECO:0000269|PubMed:41361016}. Note=Present at the centrosomes at interphase. A small portion is associated preferentially with the mother centriole, whereas the majority localizes to the pericentriolar material. During mitosis, loses affinity for the centrosome at the onset of prophase and diffuses throughout the cell. This dissociation from the centrosome is phosphorylation-dependent. May remain localized at the centrosome during mitosis in certain cell types. Appears at the cleavage furrow in late anaphase and in the midbody in cytokinesis. {ECO:0000269|PubMed:16198290}."
Q53FV1,,"TRANSMEM 22..42; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 43..63; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 106..126; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..21; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 64..105; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 127..153; /note=""Extracellular""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12093374}; Multi-pass membrane protein {ECO:0000269|PubMed:12093374}.
Q567U6,,,,SUBCELLULAR LOCATION: Early endosome {ECO:0000305|PubMed:25355947}.
Q58EX7,,,,
Q5QJE6,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12786946, ECO:0000269|PubMed:15047147}. Nucleus, nucleolus {ECO:0000269|PubMed:34516797}."
Q15653,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
Q16543,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9482106}.
Q53EU6,,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 137..157; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 161..181; /note=""Helical""; /evidence=""ECO:0000255""",,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17002884, ECO:0000269|PubMed:19318427}; Multi-pass membrane protein {ECO:0000255}."
Q5C9Z4,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:15715967, ECO:0000269|PubMed:17965019}."
Q5HYI8,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:36052645}. Golgi apparatus {ECO:0000269|PubMed:36052645}. Note=Accumulates around the centrosome during early ciliogenesis. {ECO:0000269|PubMed:36052645}."
Q5JTV8,,"TRANSMEM 339..355; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..338; /note=""Nuclear""; /evidence=""ECO:0000255""; TOPO_DOM 356..583; /note=""Perinuclear space""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:12061773, ECO:0000269|PubMed:24275647}; Single-pass membrane protein {ECO:0000269|PubMed:12061773, ECO:0000269|PubMed:24275647}.; SUBCELLULAR LOCATION: [Isoform 4]: Nucleus envelope {ECO:0000269|PubMed:25461922}. Nucleus {ECO:0000269|PubMed:25461922}. Note=Found mainly in the nuclear envelope and also inside the nucleus. {ECO:0000269|PubMed:25461922}."
Q15393,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10490618, ECO:0000269|PubMed:11564863, ECO:0000269|PubMed:27720643, ECO:0000269|PubMed:28541300, ECO:0000269|PubMed:28781166}."
Q15418,,,,SUBCELLULAR LOCATION: Nucleus. Cytoplasm.
Q15811,,,,"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:11744688}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9WVE9}. Cell projection, lamellipodium {ECO:0000269|PubMed:11744688}. Cell membrane {ECO:0000269|PubMed:11744688, ECO:0000269|PubMed:20946875}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:20946875, ECO:0000269|PubMed:29887380}. Recycling endosome {ECO:0000269|PubMed:29030480}. Endosome {ECO:0000250|UniProtKB:Q9Z0R4}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q9Z0R4}. Note=Colocalizes with SGIP1 at the plasma membrane in structures corresponding most probably to clathrin-coated pits (PubMed:20946875). Colocalizes with RAB13 on cytoplasmic vesicles that are most likely recycling endosomes (PubMed:29030480). {ECO:0000269|PubMed:20946875, ECO:0000269|PubMed:29030480}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:29599122}. Endomembrane system {ECO:0000269|PubMed:21712076}. Nucleus envelope {ECO:0000269|PubMed:29599122}. Note=Shuttles between the cytoplasm and nucleus in an XPO1/CRM1-dependent manner. {ECO:0000269|PubMed:29599122}.; SUBCELLULAR LOCATION: [Isoform 5]: Endomembrane system {ECO:0000269|PubMed:21712076}."
Q16181,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18460473}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:18460473}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18460473}. Cleavage furrow {ECO:0000269|PubMed:18460473}. Midbody {ECO:0000269|PubMed:18460473}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:25588830}. Note=Distributed throughout the cytoplasm in prometaphase cells. Associated with the spindle during metaphase. Associated with the central spindle and at the cleavage furrow in anaphase cells. Detected at the midbody in telophase. Associated with actin stress fibers (By similarity). Found in the sperm annulus (PubMed:25588830). {ECO:0000250, ECO:0000269|PubMed:25588830}."
Q15398,,,,"SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Cytoplasm, cytoskeleton, spindle. Note=Localizes to the spindle in mitotic cells. Colocalizes with CDH1 at sites of cell-cell contact in intestinal epithelial cells."
Q15392,"SIGNAL 1..22; /evidence=""ECO:0000255""","TRANSMEM 32..52; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 23..31; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:22010141""; TOPO_DOM 53..516; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:22010141""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11007892, ECO:0000269|PubMed:22010141}; Single-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:11007892}; Single-pass membrane protein {ECO:0000255}."
Q15599,,,,"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:9054412}; Peripheral membrane protein {ECO:0000269|PubMed:9054412}. Nucleus {ECO:0000269|PubMed:9054412}. Apical cell membrane {ECO:0000250}. Note=Localizes with EZR and PODXL at the apical cell membrane of glomerular epithelium cells and the sides of the food processes (By similarity). Nuclear, in a punctate pattern. {ECO:0000250}."
Q16513,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11356191, ECO:0000269|PubMed:17332740}. Nucleus {ECO:0000269|PubMed:11356191}. Membrane {ECO:0000250|UniProtKB:Q8BWW9}. Cell projection, lamellipodium {ECO:0000269|PubMed:11356191}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11356191}. Cleavage furrow {ECO:0000269|PubMed:17332740}. Midbody {ECO:0000269|PubMed:17332740}. Cell junction {ECO:0000269|PubMed:20974804}. Note=Colocalizes with PTPN13 in lamellipodia-like structures, regions of large actin turnover. Accumulates during telophase at the cleavage furrow and concentrates finally around the midbody in cytokinesis. Recruited to nascent cell-cell contacts at the apical surface of cells. In the course of viral infection, colocalizes with HCV NS5B at perinuclear region in the cytoplasm. {ECO:0000269|PubMed:11356191, ECO:0000269|PubMed:17332740}."
Q16539,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:7535770}. Nucleus {ECO:0000269|PubMed:30878395, ECO:0000269|PubMed:7535770}."
Q5JTW2,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:28242748, ECO:0000269|PubMed:34259627}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:27246242, ECO:0000269|PubMed:34259627}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:27588451}. Note=Mainly localizes at the centriolar wall, but also found in the pericentriolar material (PubMed:27246242). Expressed in photoreceptor inner segment (PubMed:27588452). {ECO:0000269|PubMed:27246242, ECO:0000269|PubMed:27588452}."
Q15831,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18854309}. Cytoplasm {ECO:0000269|PubMed:18854309}. Membrane {ECO:0000250|UniProtKB:Q9WTK7}. Mitochondrion {ECO:0000269|PubMed:11430832}. Late endosome {ECO:0000250|UniProtKB:Q9WTK7}. Note=A small fraction localizes at membranes (By similarity). Relocates to the cytoplasm when bound to STRAD (STRADA or STRADB) and CAB39/MO25 (CAB39/MO25alpha or CAB39L/MO25beta) (PubMed:18854309). Translocates to the mitochondrion during apoptosis. PTEN promotes cytoplasmic localization (PubMed:11430832). Translocates to late endosomes in response to calorie restriction (By similarity). {ECO:0000250|UniProtKB:Q9WTK7, ECO:0000269|PubMed:11430832, ECO:0000269|PubMed:18854309}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:23612973}. Cytoplasm {ECO:0000269|PubMed:23612973}. Note=Predominantly nuclear, but translocates to the cytoplasm in response to metformin or peroxynitrite treatment. {ECO:0000269|PubMed:23612973}."
Q16222,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:8025165}. Note=In spermatozoa, localized to the principal piece of the tail, the neck region of the head and to a lesser extent, the midpiece of the tail. {ECO:0000269|PubMed:8025165}."
Q17R31,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q2TAZ0,,,,SUBCELLULAR LOCATION: Preautophagosomal structure membrane {ECO:0000269|PubMed:30952800}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96BY7}. Lipid droplet {ECO:0000250|UniProtKB:Q96BY7}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:30952800}; Peripheral membrane protein {ECO:0000250|UniProtKB:P53855}. Note=Localizes to endoplasmic reticulum-autophagosome contact sites. {ECO:0000269|PubMed:30952800}.
Q27J81,,,,"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:20023659}."
Q2NL82,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}."
Q499Z4,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q5JS54,,,,
Q53RE8,,,,
Q5SW79,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:30354798, ECO:0000269|PubMed:31789463}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:15616186, ECO:0000269|PubMed:23386061, ECO:0000269|PubMed:31789463}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15616186}. Note=Associated with the mature mother centriole. Associated with spindle microtubules during mitosis. Localizes to the distal appendage region of the centriole (PubMed:31789463). Localizes at the centriole proximal ends (PubMed:31789463). {ECO:0000269|PubMed:23386061, ECO:0000269|PubMed:31789463}."
Q5VT06,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:16314388, ECO:0000269|PubMed:19052644, ECO:0000269|PubMed:28659385}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:16314388}. Nucleus {ECO:0000269|PubMed:15615782}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:28625565, ECO:0000269|PubMed:28659385, ECO:0000269|PubMed:36756949}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28659385}. Note=Associated with mitotic spindles (PubMed:16314388). Nuclear, in discrete foci. Associated with intermediate filaments (PubMed:15615782). Also present in the pericentrosomal area (PubMed:17878239). Localizes on both mother and daughter centrioles. Localizes to an axial position on the mother centriole (PubMed:28625565). Localizes to the distal end of the centriole on the subdistal appendage region (PubMed:28659385). {ECO:0000269|PubMed:15615782, ECO:0000269|PubMed:16314388, ECO:0000269|PubMed:17878239, ECO:0000269|PubMed:28625565, ECO:0000269|PubMed:28659385}."
Q5VYK3,,,,"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:15496406}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000269|PubMed:15496406}. Endosome {ECO:0000269|PubMed:15496406}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:15496406}. Nucleus {ECO:0000269|PubMed:15496406}. Endosome, multivesicular body {ECO:0000269|PubMed:20682791}. Cytoplasmic vesicle {ECO:0000269|PubMed:20682791}."
Q66GS9,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:17681131, ECO:0000269|PubMed:32060285, ECO:0000269|PubMed:32946374}. Note=During centriole biogenesis, it is concentrated within the proximal lumen of both parental centrioles and procentrioles."
Q6IQ22,,,,"SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000250|UniProtKB:P35283}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lysosome membrane {ECO:0000250|UniProtKB:P35283}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P51152}. Cytoplasmic vesicle, autophagosome {ECO:0000250|UniProtKB:P35283}."
Q6NW34,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:40413743}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q8R2U2}."
Q6P2P2,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25737013, ECO:0000269|PubMed:25979344}."
Q6P3W2,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}."
Q6R327,,,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21867682}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21867682}. Lysosome membrane {ECO:0000269|PubMed:31130364}. Note=The mTORC2 complex localizes to membranes: mTORC2 is active at the plasma membrane, endoplasmic reticulum membrane and lysosomes (PubMed:21867682). In lysosomal membrane, mTORC2 is sensitive to lysosomal positioning in the cell (PubMed:31130364). {ECO:0000269|PubMed:21867682, ECO:0000269|PubMed:31130364}."
Q7L5D6,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:20676083, ECO:0000269|PubMed:21636303, ECO:0000269|PubMed:29042515, ECO:0000269|PubMed:32395830}."
Q5T280,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:25657325}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:20813266, ECO:0000269|PubMed:25657325}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:25657325}. Note=Associated with the outer kinetochore. {ECO:0000269|PubMed:20813266}."
Q5VT25,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O54874}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q3UU96}. Note=Displays a dispersed punctate distribution and concentrates along the cell periphery, especially at the leading edge and cell-cell junction. This concentration is PH-domain dependent. Localizes in the lamellipodium in a FAM89B/LRAP25-dependent manner. {ECO:0000250|UniProtKB:O54874, ECO:0000250|UniProtKB:Q3UU96}."
